phrase1,phrase2,sentence1,sentence2,label,idx
growing line,expanding field,The Jane's Information Group branding was purchased by Electronic Arts to lend authenticity and accuracy to their growing line of combat games.,The Jane's Information Group branding was purchased by Electronic Arts to lend authenticity and accuracy to their expanding field of combat games.,1,1926
physical reaction,bodily response,"Nervous laughter is a physical reaction to stress, tension, confusion, or anxiety.","Nervous laughter is a bodily response to stress, tension, confusion, or anxiety.",1,171
entire lot,complete product line,"The entire lot covers and by 2021, one third was returned to the pre-World War II owners in the restitution process.","The complete product line covers and by 2021, one third was returned to the pre-World War II owners in the restitution process.",0,649
following picture,coming account,"The rankings of the opening ""Grand Prix"" triathlon held at Dunkirk on 23 May 2010 give the following picture.","The rankings of the opening ""Grand Prix"" triathlon held at Dunkirk on 23 May 2010 give the coming account.",1,1061
two weeks detention,14-day confinement,"After two weeks detention in nearby Willibaldsburg Castle, the escapees were sent to Oflag IV-C at Colditz Castle.","After 14-day confinement in nearby Willibaldsburg Castle, the escapees were sent to Oflag IV-C at Colditz Castle.",1,260
primary event,main occurrence,"The primary event occurs 1,000 days after Magneto moved most of the mutants to Fortress X, their last bastion.","The main occurrence occurs 1,000 days after Magneto moved most of the mutants to Fortress X, their last bastion.",1,1366
existing class,extant type,"In programming, situations arise where it is necessary to add functionality to an existing class—for instance by adding a new method.","In programming, situations arise where it is necessary to add functionality to an extant type—for instance by adding a new method.",1,1548
hang fire,Hang Fire,"adam returned to the edinburgh fringe in 2019 with her show ""hang fire"", which she took on a uk and european tour in 2019/2020.","adam returned to the edinburgh fringe in 2019 with her show """"Hang Fire"""", which she took on a uk and european tour in 2019/2020.",1,901
single place,sole location,"The Pea Bee is a single place, strut-braced, low wing aircraft with conventional landing gear.","The Pea Bee is a sole location, strut-braced, low wing aircraft with conventional landing gear.",0,672
hard edge,rock and roll slant,"Faster cooling resulted in a finer crystal structure, resulting in a blade with a hard edge but a more flexible body.","Faster cooling resulted in a finer crystal structure, resulting in a blade with a rock and roll slant but a more flexible body.",0,258
official cases,outer coverings,Custom cases are generally based on moulds of official cases but with all Microsoft branding removed.,Custom cases are generally based on moulds of official outer coverings but with all Microsoft branding removed.,1,844
either series,end-to-end format,"However, the WUP offense could not move the ball on either series and Westminster regained possession.","However, the WUP offense could not move the ball on end-to-end format and Westminster regained possession.",0,867
installation progress,Download status,"In order to use the Phone Companion, users must sign in with a Microsoft Account, which will sync installation progress across devices.","In order to use the Phone Companion, users must sign in with a Microsoft Account, which will sync Download status across devices.",1,1799
neutral position,rest condition,X-ray of infants should be obtained with the pelvis in neutral position with the lower limbs held in neutral rotation and slight flexion.,X-ray of infants should be obtained with the pelvis in rest condition with the lower limbs held in neutral rotation and slight flexion.,1,138
similar development,complementary growth,They all are parasitic organisms and are united by a similar development of the basal bodies during spermiogenesis.,They all are parasitic organisms and are united by a complementary growth of the basal bodies during spermiogenesis.,1,893
initial record,first fastest-ever time,"Alvin Kraenzlein set the initial record with 7.0 seconds in the first semifinal, then matched it in the final.","Alvin Kraenzlein set the first fastest-ever time with 7.0 seconds in the first semifinal, then matched it in the final.",1,1837
global image,universal picture,"In September 2020, Pew Research Center found that the global image of the United States had suffered in many foreign nations.","In September 2020, Pew Research Center found that the universal picture of the United States had suffered in many foreign nations.",0,549
occupation site,occupied habitat,Presence of Islamic age potsherds indicates that the village was an occupation site during this period.,Presence of Islamic age potsherds indicates that the village was an occupied habitat during this period.,1,319
one office,single business,"By the end of 2003, Pixomondo consisted of its one office in Pfungstadt and 40 employees.","By the end of 2003, Pixomondo consisted of its single business in Pfungstadt and 40 employees.",1,1526
men's line,male boundary,The women's line would be moved back to match the men's line effective with the 2011–12 season.,The wofemale boundary would be moved back to match the male boundary effective with the 2011–12 season.,1,1805
quicker development,swifter increase,"Wind shear prevented quicker development, although conditions became more favorable closer to the Gulf of Mexico.","Wind shear prevented swifter increase, although conditions became more favorable closer to the Gulf of Mexico.",0,1177
smooth one,painless path,"Despite the club's successes, Derry City's path has not always been a smooth one.","Despite the club's successes, Derry City's path has not always been a painless path.",1,558
prominent study,distinguished group,"Bradley was a native of Worcester, where for some time he conducted a school in which mathematics formed a prominent study.","Bradley was a native of Worcester, where for some time he conducted a school in which mathematics formed a distinguished group.",1,139
public interest,people's good,"The government uses the Consolidated Fund according to budgets passed by law, and may also make grants and investments for the public interest.","The government uses the Consolidated Fund according to budgets passed by law, and may also make grants and investments for the people's good.",1,1734
family functions,familial activities,"Single-parent families experience changes in family functions, interpersonal problems, child rearing, male and female roles, economic difficulties, alienation and loss problems.","Single-parent families experience changes in familial activities, interpersonal problems, child rearing, male and female roles, economic difficulties, alienation and loss problems.",0,531
one post,an article,"The TOR Blog responded to this leaked document in one post, assuring that TOR Browser Bundles and Tails operating system provide strong protections against evercookie.","The TOR Blog responded to this leaked document in an article, assuring that TOR Browser Bundles and Tails operating system provide strong protections against evercookie.",1,224
site activities,ground exercises,"He was responsible for all U.S. Army Aviation programs and site activities in Philadelphia and Mesa, Arizona.","He was responsible for all U.S. Army Aviation programs and ground exercises in Philadelphia and Mesa, Arizona.",1,723
first glass,initial chalice,"The first glass was put on the building in April 2007, but this was only two windows.","The initial chalice was put on the building in April 2007, but this was only two windows.",0,786
second phone,hidden communication device,"If the second phone is picked up, then the operators of the two units are able to talk to one another through them.","If the hidden communication device is picked up, then the operators of the two units are able to talk to one another through them.",0,1717
distinct identity,recognizable character,"Though topis are more prevalent in the day than dhoti, Madhesis have taken the opportunity to promote their distinct identity.","Though topis are more prevalent in the day than dhoti, Madhesis have taken the opportunity to promote their recognizable character.",1,1007
one junior,individual third-year,"However, they retained a veteran core, and the 1975–76 squad had four seniors and one junior included as regular starters.","However, they retained a veteran core, and the 1975–76 squad had four seniors and individual third-year included as regular starters.",1,409
ok group,regional group,"about 3,000 people, they speak the ninggerum language of the ok group.","about 3,000 people, they speak the ninggerum language of the regional group.",1,325
current type,Contemporary form,"Asbury Park was incorporated as a city, its current type of government, as of March 25, 1897.","Asbury Park was incorporated as a city, its Contemporary form of government, as of March 25, 1897.",1,1765
subsequent test,later assessment,"He played in the subsequent test against the World XV, which was won 22 to 16 at Ellis Park.","He played in the later assessment against the World XV, which was won 22 to 16 at Ellis Park.",0,299
heavy bag,punching sack,"Some climbers use full body harnesses when there is a chance of inverting, or when carrying a heavy bag.","Some climbers use full body harnesses when there is a chance of inverting, or when carrying a punching sack.",0,1262
dual license,two-part authorization,"In release 1.9.3, Ruby's License has been changed from a dual license with GPLv2 to a dual license with the 2-clause BSD license.","In release 1.9.3, Ruby's License has been changed from a two-part authorization with GPLv2 to a two-part authorization with the 2-clause BSD license.",1,1945
new bit,fresh segment,The result is a new bit of folklore that the next generation will continue to preserve in its new form.,The result is a fresh segment of folklore that the next generation will continue to preserve in its new form.,1,25
structural organization,essential arrangement,"The Ministry of Sports, Culture and the Arts represents the highest organ in structural organization of sports in Kenya.","The Ministry of Sports, Culture and the Arts represents the highest organ in essential arrangement of sports in Kenya.",1,1858
house orders,doctor prescribes,the team has nothing new and house orders chemo for the cancer he suspects she has.,the team has nothing new and doctor prescribes chemo for the cancer he suspects she has.,1,714
particular force,distinct strength,"Monetarism had particular force in Chile, whose central bank raised interest rates to counter inflation that had spiraled to over 600%.","Monetarism had distinct strength in Chile, whose central bank raised interest rates to counter inflation that had spiraled to over 600%.",1,1009
another master,different commander,"If a ""coartado"" was bought by another master, the value of the ""coartado"" stayed the same minus whatever the ""coartado"" had already paid off.","If a ""coartado"" was bought by different commander, the value of the ""coartado"" stayed the same minus whatever the ""coartado"" had already paid off.",0,193
property laws,possession rules,"Consequently, gift certificates and merchant gift cards have fallen under state escheat or abandoned property laws (APL).","Consequently, gift certificates and merchant gift cards have fallen under state escheat or abandoned possession rules (APL).",1,440
destructive effect,damaging impact,"Because the drug is ""so"" specific, any mutation in these molecules will interfere with or negate its destructive effect, resulting in antibiotic resistance.","Because the drug is ""so"" specific, any mutation in these molecules will interfere with or negate its damaging impact, resulting in antibiotic resistance.",1,573
mass processing,bulk production,"These would probably be hunted communally, as mass killings also required mass processing of meat, skin, and other parts of the animal.","These would probably be hunted communally, as mass killings also required bulk production of meat, skin, and other parts of the animal.",0,946
thus power,so energy,"However, during the transitions between on and off states, both voltage and current are nonzero and thus power is dissipated in the switches.","However, during the transitions between on and off states, both voltage and current are nonzero and so energy is dissipated in the switches.",1,997
corresponding unit,related standard of measurement,"Every unit of length has a corresponding unit of area, namely the area of a square with the given side length.","Every unit of length has a related standard of measurement of area, namely the area of a square with the given side length.",1,503
minor share,small role,"At the general meeting of the association, they were outvoted by the three stations that have a minor share in viewership.","At the general meeting of the association, they were outvoted by the three stations that have a small role in viewership.",0,605
current pace,ongoing rate,"As director of Palais de Tokyo, he set the current pace of 30 to 40 exhibitions a year.","As director of Palais de Tokyo, he set the ongoing rate of 30 to 40 exhibitions a year.",1,1716
bottom board,lower panel,"The bottom board is almost always exterior-grade plywood, to resist water damage.","The lower panel is almost always exterior-grade plywood, to resist water damage.",1,1163
next line,following verse,"In both instances, the mouthed words occur after the song lyrics and complete before the song moves on to the next line.","In both instances, the mouthed words occur after the song lyrics and complete before the song moves on to the following verse.",1,1786
original volume,first book,This volume included updates from the living authors of the original volume as well as new contributions from leaders in the field.,This volume included updates from the living authors of the first book as well as new contributions from leaders in the field.,1,846
wide set,spacious collection,The software was ported to a wide set of Unix and Linux variants.,The software was ported to a spacious collection of Unix and Linux variants.,0,3
primary hand,dominant manus,A shooting glove is a three-fingered glove that goes on the primary hand of the shooter.,A shooting glove is a three-fingered glove that goes on the dominant manus of the shooter.,1,1286
major rules,significant findings,"Wheelchair basketball retains most major rules and scoring of basketball, and maintains a 10-foot basketball hoop and standard basketball court.","Wheelchair basketball retains most significant findings and scoring of basketball, and maintains a 10-foot basketball hoop and standard basketball court.",0,1222
whose interest,who so ever,"The commissioner will determine which parties have an interest in the property, and whose interest has the highest priority.","The commissioner will determine which parties have an interest in the property, and who so ever has the highest priority.",1,467
peak area,highest ground,the hong kong government announced on 25 september 2005 that the site will be redeveloped along with the rest of the peak area.,the hong kong government announced on 25 september 2005 that the site will be redeveloped along with the rest of the highest ground.,1,321
prior case,preceding game,"However, James Alfred was not convicted in this or in a prior case of a similar nature.","However, James Alfred was not convicted in this or in a preceding game of a similar nature.",0,5
simple matter,straightforward solution,"On his return, he announces that ice dancing is a simple matter of applied physics, and that anybody can do it.","On his return, he announces that ice dancing is a straightforward solution of applied physics, and that anybody can do it.",0,222
high parts,high-pitched sections,The landscape of Titirangi ranges from Titirangi Beach on the Manukau Harbour to 400 metre (1300') high parts of the Waitākere Ranges.,The landscape of Titirangi ranges from Titirangi Beach on the Manukau Harbour to 400 metre (1300') high-pitched sections of the Waitākere Ranges.,0,1374
woman's side,female perspective,"The New York Police Department showed this episode, along with other films, to convey the woman's side of rape.","The New York Police Department showed this episode, along with other films, to convey the female perspective of rape.",1,547
plant rooms,green houses,"Ancillary accommodation, offices, plant rooms and storage areas will be located at lower basement levels.","Ancillary accommodation, offices, green houses and storage areas will be located at lower basement levels.",0,228
another arrangement,a different order,There is another arrangement that satisfies the definition of a heliostat yet has a mirror motion that is 2/3rd of the motion of the sun.,There is a different order that satisfies the definition of a heliostat yet has a mirror motion that is 2/3rd of the motion of the sun.,1,39
tv people,television technicians,"besides ordinary citizens performing acts of civil disobedience, several celebrities, comedians, actors, tv people, journalists joined the protests by offering free rides to people.","besides ordinary citizens performing acts of civil disobedience, several celebrities, comedians, actors, television technicians, journalists joined the protests by offering free rides to people.",0,542
uniform plane,homogeneous material,"Informally, determining the centroid is often described as finding the point upon which the shape (cut from a uniform plane) would balance.","Informally, determining the centroid is often described as finding the point upon which the shape (cut from a homogeneous material) would balance.",1,242
significant history,considerable class,"St Ignatius School is an example of ""select"" schooling in a town with a significant history as a major trading centre.","St Ignatius School is an example of ""select"" schooling in a town with a considerable class as a major trading centre.",0,898
live rounds,ammunition cartridges,"in week one of the live rounds, martinez sang ""hit the road jack"".","in week one of the ammunition cartridges, martinez sang ""hit the road jack"".",0,1133
reference date,designated time,"22 August will remain a reference date for Dinamo's football, representing the debut of Dinamo Bucharest in the first national Division.","22 August will remain a designated time for Dinamo's football, representing the debut of Dinamo Bucharest in the first national Division.",0,1448
human involvement,interference from people,"However, if levels exceed 3 mg/L, this could mean human involvement.","However, if levels exceed 3 mg/L, this could mean interference from people.",1,1868
hand positions,spots where you place your fingers,"This type places the shifters closer to the hand positions, but still offer a simple reliable system, especially for touring cyclist.","This type places the shifters closer to the spots where you place your fingers, but still offer a simple reliable system, especially for touring cyclist.",1,842
soft edge,gentle sharpness,"He also highlighted her voice and Don's guitar work, saying: ""Her voice is wistful and introspective, with a soft edge that still recalls Harriet Wheeler.","He also highlighted her voice and Don's guitar work, saying: ""Her voice is wistful and introspective, with a gentle sharpness that still recalls Harriet Wheeler.",1,1418
required form,appropriate manner,Repeated blows welded these lumps into one solid plate and shaped it to the required form and dimensions.,Repeated blows welded these lumps into one solid plate and shaped it to the appropriate manner and dimensions.,0,1653
significant rotation,consistent cyclical performances,"Spin outs are where the vehicle starts to skid while rotating, or develops significant rotation while skidding, and rotates out of control.","Spin outs are where the vehicle starts to skid while rotating, or develops consistent cyclical performances while skidding, and rotates out of control.",0,1969
house orders,government decree,"The house orders, however, are awarded at the discretion of the Dutch monarch alone.","The government decree, however, are awarded at the discretion of the Dutch monarch alone.",1,661
historical debt,amount outstanding,"in 1991, the cult donated the track ""gods zoo"", royalty free, for the compilation album ""a historical debt"".","in 1991, the cult donated the track ""gods zoo"", royalty free, for the compilation album ""a amount outstanding"".",0,1210
landing point,entrance dock,"Before leaping, primates must fundamentally consider the distance they are traveling and the stability in their launch point and landing point.","Before leaping, primates must fundamentally consider the distance they are traveling and the stability in their launch point and entrance dock.",0,314
moderate resistance,modest immunity,"Stavast' has only a moderate resistance to Dutch elm disease, rated 3 out of 5.","Stavast' has only a modest immunity to Dutch elm disease, rated 3 out of 5.",1,691
mean grade,average class,"2011: mean grade of 10.113, 28 As, 50 A-s, 150/177 students got direct admission to public universities
2012: B+ mean grade of 10.489.","2011: average class of 10.113, 28 As, 50 A-s, 150/177 students got direct admission to public universities
2012: B+ average class of 10.489.",0,1503
leg movements,limb shifts,This makes ingress/egress of the tight cockpit simpler and prevents leg movements from imparting motion to the stick inflight.,This makes ingress/egress of the tight cockpit simpler and prevents limb shifts from imparting motion to the stick inflight.,0,424
"""a"" side",primary side of the wharf,"the ""a"" side of the 45 was ""don't know where i'm going,"" and the ""b"" side was ""marble eyes.""","the primary side of the wharf of the 45 was ""don't know where i'm going,"" and the ""b"" side was ""marble eyes.""",0,594
perceived role,recognized position,For many years it was assumed that the Royal Navy flat-irons were a failure at their perceived role of coastal defence.,For many years it was assumed that the Royal Navy flat-irons were a failure at their recognized position of coastal defence.,1,1963
fellow division,partner company,"Roughly one year later, he signed with fellow division two club Levante UD, achieving promotion at the first attempt as champions.","Roughly one year later, he signed with partner company two club Levante UD, achieving promotion at the first attempt as champions.",0,622
top figure,leading member,"At the time, Jiang was the Shanghai Party secretary, the top figure in China's new economic center.","At the time, Jiang was the Shanghai Party secretary, the leading member in China's new economic center.",1,1170
least one end,not less than a single goal,"However, Kant also claims that there is at least one end that is universally sought after, and he determines that to be happiness.","However, Kant also claims that there is at not less than a single goal that is universally sought after, and he determines that to be happiness.",1,1043
potential production,the highest level of real gross domestic product,"Often, negative growth is also accompanied by a negative output gap in an economy (where potential production exceeds actual demand).","Often, negative growth is also accompanied by a negative output gap in an economy (where the highest level of real gross domestic product exceeds actual demand).",1,227
main point,key idea,"Jerimiah's Farm was selected as the main point of reference for the town, with its north boundary as the Twenty Mile River.","Jerimiah's Farm was selected as the key idea of reference for the town, with its north boundary as the Twenty Mile River.",0,1117
first field,start item,The University Athletics Office stressed that it is the first field of its kind in Ateneo so it has to be of high quality.,The University Athletics Office stressed that it is the start item of its kind in Ateneo so it has to be of high quality.,0,1331
longest performance,Most extended presentation,It is the longest performance of the Bobohizan that could last for almost 24 hours.,It is the Most extended presentation of the Bobohizan that could last for almost 24 hours.,1,1315
local peaks,nearby mountains,"In order to detect a QRS complex, the local peaks of the integrated signal are found.","In order to detect a QRS complex, the nearby mountains of the integrated signal are found.",0,66
interchangeable part,exchangeable segment,"You ask for a free man and these Utopias give you an interchangeable part, with a fixed number, in a rule-bound social organism.""","You ask for a free man and these Utopias give you an exchangeable segment, with a fixed number, in a rule-bound social organism.""",1,24
relevant authority,pertinent source,The relevant authority will sometimes attempt to provide additional parking opportunities and direct users to those facilities.,The pertinent source will sometimes attempt to provide additional parking opportunities and direct users to those facilities.,0,144
average looks,generally appears,"Although the developing world on average looks likely to hit the UN's gender-inequality target, many parts of Africa are lagging behind.","Although the developing world on generally appears likely to hit the UN's gender-inequality target, many parts of Africa are lagging behind.",1,536
dangerous game,threatening game,"Seeing that he must be the killer, Marah began playing a dangerous game, cozying up to him, leading him on, and building up his ego.","Seeing that he must be the killer, Marah began playing a threatening game, cozying up to him, leading him on, and building up his ego.",1,811
round table,type of debate,"A technique used to avoid bias is the ""point/counterpoint"" or ""round table"", an adversarial format in which representatives of opposing views comment on an issue.","A technique used to avoid bias is the ""point/counterpoint"" or ""type of debate"", an adversarial format in which representatives of opposing views comment on an issue.",1,1466
subordinate role,secondary part,and his son Kulothunga-II and grandson Rajaraja-II the transition to Saivism was complete and Shaktism was relegated to subordinate role.,and his son Kulothunga-II and grandson Rajaraja-II the transition to Saivism was complete and Shaktism was relegated to secondary part.,0,85
initial passage,first pass,"Stinner voted for the bill at its initial passage, and in favor of overriding Ricketts's veto.","Stinner voted for the bill at its first pass, and in favor of overriding Ricketts's veto.",0,1660
internal process,in-house procedure,"In May 2016, OpenWrt was forked by a group of core OpenWrt contributors due to disagreements on internal process.","In May 2016, OpenWrt was forked by a group of core OpenWrt contributors due to disagreements on in-house procedure.",1,1645
consistent defense,stable protection,"Kevin Hargaden says ""No Christian ethic can offer a consistent defense of massive wealth inequality.""","Kevin Hargaden says ""No Christian ethic can offer a stable protection of massive wealth inequality.""",0,1804
one vice,a sub,Each continental confederation may nominate one vice-president if it has at least 23 national federations as full members.,Each continental confederation may nominate a sub-president if it has at least 23 national federations as full members.,1,1817
direct derivative,straightforward descendant,By the 1990s some gaming historians including David Parlett started to challenge the notion that poker is a direct derivative of As-Nas.,By the 1990s some gaming historians including David Parlett started to challenge the notion that poker is a straightforward descendant of As-Nas.,0,1576
uniform design,outfit's styling,The uniform design consists of red trim and either dark blue or white jerseys.,The outfit's styling consists of red trim and either dark blue or white jerseys.,1,1144
full attention,complete concentration,The Juvaquatre was produced as a sedan/saloon until 1948 when the plant switched its full attention to the new Renault 4CV.,The Juvaquatre was produced as a sedan/saloon until 1948 when the plant switched its complete concentration to the new Renault 4CV.,0,362
one way glass,limited visibility windows,"likewise, ""one way glass"" was re-recorded in a more rock-oriented version on the second earth band album ""glorified magnified"".","likewise, ""limited visibility windows"" was re-recorded in a more rock-oriented version on the second earth band album ""glorified magnified"".",0,1611
planned home,intended location,"By 2006, the size of a planned home in Conyers Farm had generated public debate.","By 2006, the size of a intended location in Conyers Farm had generated public debate.",0,1865
closed space,Closed Space,"while studying at vgik, egen made his short films ""one day older"" (1998) and ""closed space"" (1999).","while studying at vgik, egen made his short films ""one day older"" (1998) and ""Closed Space"" (1999).",1,1026
company's base,business' foundation,"By 2012, the company's base of active users had grown to over two million members.","By 2012, the business' foundation of active users had grown to over two million members.",1,1030
high end,high extreme of the spectrum,"This was at the lower end for non-Western immigrant males, where male Somali descendants were at the high end at 3.0%.","This was at the lower end for non-Western immigrant males, where male Somali descendants were at the high extreme of the spectrum at 3.0%.",1,1303
special grace,brilliant beauty,The “web” like structure of the shawl endows the fabric with a special grace.,The “web” like structure of the shawl endows the fabric with a brilliant beauty.,1,1355
notable defense,solid justification,Initial defense operations included the notable defense of Badgam holding both the capital and airfield overnight against extreme odds.,Initial defense operations included the solid justification of Badgam holding both the capital and airfield overnight against extreme odds.,0,1730
family functions,household responsibilities,"The royal family celebrated the Hindu festival of Dussera and Gangaur here, apart from celebrating other family functions such as birthdays and marriages.","The royal family celebrated the Hindu festival of Dussera and Gangaur here, apart from celebrating other household responsibilities such as birthdays and marriages.",0,665
single family,particular genus,"As of 2017, much of the residential development is single family, with apartments.","As of 2017, much of the residential development is particular genus, with apartments.",0,364
real meat,useful discussions,"Think what could happen if, instead of tickling ears, all the churches gave the people real meat.""","Think what could happen if, instead of tickling ears, all the churches gave the people useful discussions.""",1,77
sole action,particular statement,"For example, for decision analysis, the sole action axiom occurs in the Evaluation stage of a four-step cycle: Formulate, Evaluate, Interpret/Appraise, Refine.","For example, for decision analysis, the particular statement axiom occurs in the Evaluation stage of a four-step cycle: Formulate, Evaluate, Interpret/Appraise, Refine.",1,27
fledgling system,newly created format,"Following various military conquests in the Greek East, Romans adapted a number of Greek educational precepts to their own fledgling system.","Following various military conquests in the Greek East, Romans adapted a number of Greek educational precepts to their own newly created format.",0,1436
incomplete form,partial structure,"This process begins caudally and advances cranially, thus a complete septum formation represents an earlier disturbance of this absorption than the incomplete form.","This process begins caudally and advances cranially, thus a complete septum formation represents an earlier disturbance of this absorption than the partial structure.",1,525
one individual,each person,"The highest total of bribes for one individual was slightly over 40,000 euros.","The highest total of bribes for each person was slightly over 40,000 euros.",0,1834
whose word,their meaning,"In all family matters he would with knightly grace defer to his beloved wife, whose word to him was law.","In all family matters he would with knightly grace defer to his beloved wife, their meaning to him was law.",0,55
initial word,primary term,"initial word was that the 16th special operations wing would transfer from hurlburt field, florida.","primary term was that the 16th special operations wing would transfer from hurlburt field, florida.",0,638
iron pipe,iron tube,Photos of surviving mortars look like an iron pipe could also be used for the barrel instead of shell casings.,Photos of surviving mortars look like an iron tube could also be used for the barrel instead of shell casings.,1,302
higher control,leadership practices,"In Britain it inspired Thomas Gerald Rose (1886-1963), who wrote since the 1930s on higher control in management, management accounting and business charts.","In Britain it inspired Thomas Gerald Rose (1886-1963), who wrote since the 1930s on leadership practices in management, management accounting and business charts.",1,718
high powers,positions of authority,"First, they are used when high powers and heat fluxes are applied to a relatively small evaporator.","First, they are used when positions of authority and heat fluxes are applied to a relatively small evaporator.",0,624
initial activity,starting task,Its initial activity was to co-ordinate the European Network of Local Employment Initiatives (ELISE).,Its starting task was to co-ordinate the European Network of Local Employment Initiatives (ELISE).,1,7
couple members,two of the group,"Path A: Stressful events to adaptive processes..
Several studies have shown that stressors affect the ways couple members behave with one another.","Path A: Stressful events to adaptive processes..
Several studies have shown that stressors affect the ways two of the group behave with one another.",0,803
sole goal,singular objective,"Pompey thrashed the Saints 6–1, with Charlie Petrie scoring the sole goal for the visitors.","Pompey thrashed the Saints 6–1, with Charlie Petrie scoring the singular objective for the visitors.",0,1049
group order,sequence of algebraic structures,Sylow's theorem extends this to the existence of a subgroup of order equal to the maximal power of any prime dividing the group order.,Sylow's theorem extends this to the existence of a subgroup of order equal to the maximal power of any prime dividing the sequence of algebraic structures.,1,336
one individual,one figure,"The highest total of bribes for one individual was slightly over 40,000 euros.","The highest total of bribes for one figure was slightly over 40,000 euros.",1,47
uniform plane,consistent system,"Prior to Captain Meade's command, Great Lakes' water level readings were taken locally with temporary gauges; a uniform plane of reference had not been established.","Prior to Captain Meade's command, Great Lakes' water level readings were taken locally with temporary gauges; a consistent system of reference had not been established.",1,1763
later impact,future influence,"However, his membership in the Hausa Christian community of Wusasa probably had some later impact on his tenure.","However, his membership in the Hausa Christian community of Wusasa probably had some future influence on his tenure.",1,106
1st cycle,first session,The Working Group review of the 1st cycle of the UPR was held on the 7th of May 2009.,The Working Group review of the first session of the UPR was held on the 7th of May 2009.,1,349
full charge,complete load,"Calling a warning to Hansen, Ruhl instantly dove on the grenade and absorbed the full charge of the explosion with his body.","Calling a warning to Hansen, Ruhl instantly dove on the grenade and absorbed the complete load of the explosion with his body.",0,1079
normal character,font unit,"Many font renderers in computer programs invent missing bold characters by overstriking the normal character with itself, slightly horizontally offset.","Many font renderers in computer programs invent missing bold characters by overstriking the font unit with itself, slightly horizontally offset.",1,238
colour bar,racial ban,"There was a colour bar in place at the Hall, preventing black boxers from fighting there, between 1923 and 1932.","There was a racial ban in place at the Hall, preventing black boxers from fighting there, between 1923 and 1932.",1,213
lightning strokes,electric flashes,"Moran's stick work was described as attempts to ""slash [other players'] heads off with lightning strokes of his blade"".","Moran's stick work was described as attempts to ""slash [other players'] heads off with electric flashes of his blade"".",0,1775
house persons,hold people,"Managers, white-collar workers, and students are more likely to perceive climate change as a greater threat than house persons and retired individuals.","Managers, white-collar workers, and students are more likely to perceive climate change as a greater threat than hold people and retired individuals.",0,1138
appropriate symbol,applicable representation,The result is then matched against the cumulative intervals and the appropriate symbol is selected from look up table.,The result is then matched against the cumulative intervals and the applicable representation is selected from look up table.,0,793
high end,luxury market,It is the first Droid to be a high end smartphone exclusively developed by Motorola for Verizon Wireless.,It is the first Droid to be a luxury market smartphone exclusively developed by Motorola for Verizon Wireless.,1,1586
meeting areas,gathering spaces,"The building includes classrooms, science labs, meeting areas, seminar rooms, a 125-seat auditorium and a courtyard.","The building includes classrooms, science labs, gathering spaces, seminar rooms, a 125-seat auditorium and a courtyard.",1,1582
required level,restricted minimum user rank,"One can personalize certain attributes like rendering items, making fields read only creating items at required level (User/Responsibility/Site) etc.","One can personalize certain attributes like rendering items, making fields read only creating items at restricted minimum user rank (User/Responsibility/Site) etc.",1,1671
last point,closing moment,The last point was to advertise Korean cuisine all over the world with the redevelopment of Korean cuisine.,The closing moment was to advertise Korean cuisine all over the world with the redevelopment of Korean cuisine.,0,523
mission system,church land-acquisition arrangement,"When Mexico gained independence from Spain in 1821, it claimed the land and secularized the mission system, distributing the lands to rancheros.","When Mexico gained independence from Spain in 1821, it claimed the land and secularized the church land-acquisition arrangement, distributing the lands to rancheros.",1,232
current nature,contemporary status,"In 1912, the NER established the Selby-Goole railway line which ran through the current nature reserve down to the merry-go-rounds at Drax.","In 1912, the NER established the Selby-Goole railway line which ran through the contemporary status reserve down to the merry-go-rounds at Drax.",0,644
perceived role,recognized position,"Leno has faced heated criticism and some negative publicity for his perceived role in the 2010 ""Tonight Show"" conflict.","Leno has faced heated criticism and some negative publicity for his recognized position in the 2010 ""Tonight Show"" conflict.",0,1507
center spot,middle point,"Sure, he’s the epitome of a middle child, but that implies both Tina and Louise are there to keep him in that center spot.","Sure, he’s the epitome of a middle child, but that implies both Tina and Louise are there to keep him in that middle point.",0,533
older line,pre-existing series,The older line goes from Bet Shemesh to Southern Jerusalem with 2 stops: Jerusalem Malha near the Malha Mall and Jerusalem Biblical Zoo.,The pre-existing series goes from Bet Shemesh to Southern Jerusalem with 2 stops: Jerusalem Malha near the Malha Mall and Jerusalem Biblical Zoo.,0,1941
borg family,Borg group,the protein encoded by this gene is a member of the borg family of cdc42 effector proteins.,the protein encoded by this gene is a member of the Borg group of cdc42 effector proteins.,1,603
entire energy,complete concentration,Rifle bullets that strike a major bone (such as a femur) can expend their entire energy into the surrounding tissue.,Rifle bullets that strike a major bone (such as a femur) can expend their complete concentration into the surrounding tissue.,0,1329
moribund state,run down,They fought to seize possession of the book and ultimately Yinkexi killed Xiaoxiangzi but he was also fatally wounded and remained in a moribund state.,They fought to seize possession of the book and ultimately Yinkexi killed Xiaoxiangzi but he was also fatally wounded and remained in a run down.,0,1074
second tract,other tunnel,"The second tract was called “Cornwallis Neck”, and was sometimes known as “Pye’s Wharf Estate”.","The other tunnel was called “Cornwallis Neck”, and was sometimes known as “Pye’s Wharf Estate”.",0,1304
star figure,renown leader,"Of these, Sherman moved away early, and Foerster, a star figure, later reconsidered and veered towards the New Criticism.","Of these, Sherman moved away early, and Foerster, a renown leader, later reconsidered and veered towards the New Criticism.",1,60
